fecha,temperatura_c,precipitacion_mm,humedad_pct
2016-02-24,17.68,4.31,84.5
2016-02-25,17.07,2.24,89.47
2016-02-26,17.91,1.11,83.23
2016-02-27,18.98,0.24,79.65
2016-02-28,19.17,0.49,80.24
2016-02-29,19.33,0.5,78.46
2016-03-01,18.87,0.23,80.6
2016-03-02,18.87,2.34,82.26
2016-03-03,18.66,5.26,82.34
2016-03-04,17.31,9.33,90.93
2016-03-05,17.16,3.54,81.87
2016-03-06,16.44,3.88,92.61
2016-03-07,16.24,7.99,85.24
2016-03-08,17.02,5.78,85.67
2016-03-09,17.79,2.02,84.32
2016-03-10,17.15,4.2,89.28
2016-03-11,17.27,4.34,88.0
2016-03-12,17.44,2.57,86.62
2016-03-13,16.82,2.74,88.92
2016-03-14,17.0,7.87,85.66
2016-03-15,17.83,0.06,83.29
2016-03-16,18.46,0.63,80.98
2016-03-17,17.26,9.56,89.8
2016-03-18,18.23,1.75,83.97
2016-03-19,18.26,1.32,84.13
2016-03-20,18.18,7.88,86.92
2016-03-21,18.45,3.55,83.95
2016-03-22,18.35,1.22,82.85
2016-03-23,18.54,0.36,82.5
2016-03-24,18.78,0.12,76.75
2016-03-25,18.67,0.0,72.49
2016-03-26,19.04,0.02,73.02
2016-03-27,19.44,2.47,77.85
2016-03-28,18.51,6.83,85.36
2016-03-29,17.4,0.62,88.77
2016-03-30,17.2,9.49,88.67
2016-03-31,17.79,5.6,85.46
2016-04-01,17.28,3.02,89.03
2016-04-02,16.36,14.13,89.05
2016-04-03,15.9,11.42,89.47
2016-04-04,16.61,10.74,84.74
2016-04-05,17.0,12.34,87.54
2016-04-06,18.0,2.14,87.75
2016-04-07,18.3,2.01,83.55
2016-04-08,18.56,0.84,81.51
2016-04-09,17.6,3.38,90.46
2016-04-10,17.66,3.34,88.96
2016-04-11,16.08,32.5,94.1
2016-04-12,15.11,25.6,95.43
2016-04-13,16.51,8.67,85.52
2016-04-14,17.92,0.08,83.95
2016-04-15,18.08,0.02,85.88
2016-04-16,16.91,6.82,90.7
2016-04-17,17.3,14.64,88.44
2016-04-18,17.65,3.92,84.46
2016-04-19,17.73,0.83,82.11
2016-04-20,18.0,1.01,83.31
2016-04-21,18.63,0.7,81.73
2016-04-22,17.21,0.61,83.22
2016-04-23,17.28,0.45,83.09
2016-04-24,16.38,11.82,93.38
2016-04-25,17.43,10.15,82.75
2016-04-26,17.25,11.55,89.41
2016-04-27,17.83,4.15,84.83
2016-04-28,16.51,14.78,92.81
2016-04-29,16.63,1.48,87.0
2016-04-30,16.92,3.25,87.8
2016-05-01,16.52,11.55,89.52
2016-05-02,16.54,5.29,88.14
2016-05-03,16.78,1.7,87.17
2016-05-04,16.48,1.27,88.92
2016-05-05,17.07,9.52,86.08
2016-05-06,16.08,29.23,93.45
2016-05-07,16.83,4.51,88.72
2016-05-08,16.82,8.12,90.06
2016-05-09,16.13,8.99,92.83
2016-05-10,14.81,19.13,92.61
2016-05-11,16.28,1.44,85.73
2016-05-12,16.93,0.31,86.71
2016-05-13,17.1,0.78,84.18
2016-05-14,16.88,0.85,85.59
2016-05-15,17.05,0.0,82.25
2016-05-16,16.9,0.43,84.96
2016-05-17,17.86,2.2,84.26
2016-05-18,17.15,2.02,87.28
2016-05-19,17.58,0.47,85.22
2016-05-20,17.49,0.17,82.53
2016-05-21,17.6,0.38,83.53
2016-05-22,17.25,4.13,84.03
2016-05-23,17.49,1.82,83.73
2016-05-24,17.45,3.57,84.42
2016-05-25,16.75,4.75,87.56
2016-05-26,16.65,14.84,88.93
2016-05-27,16.41,1.16,88.79
2016-05-28,16.75,2.77,88.35
2016-05-29,16.27,4.77,89.61
2016-05-30,16.84,11.55,88.85
2016-05-31,16.01,17.52,91.83
2016-06-01,16.53,0.81,87.33
2016-06-02,16.37,3.26,87.29
2016-06-03,16.47,3.71,85.33
2016-06-04,16.76,1.75,85.03
2016-06-05,16.86,0.47,82.15
2016-06-06,15.68,4.5,90.69
2016-06-07,15.56,5.34,88.98
2016-06-08,15.61,2.04,85.23
2016-06-09,15.83,10.28,85.07
2016-06-10,15.6,9.89,85.1
2016-06-11,15.38,1.19,84.2
2016-06-12,16.38,0.22,80.99
2016-06-13,16.19,0.33,81.63
2016-06-14,15.49,0.54,84.62
2016-06-15,15.87,0.17,80.78
2016-06-16,15.74,0.0,80.78
2016-06-17,15.96,0.73,81.75
2016-06-18,15.48,2.5,82.8
2016-06-19,15.45,7.19,88.38
2016-06-20,15.35,3.36,87.55
2016-06-21,15.54,10.58,87.51
2016-06-22,15.38,5.37,84.44
2016-06-23,15.53,4.08,84.96
2016-06-24,15.01,3.62,86.31
2016-06-25,15.27,9.21,87.79
2016-06-26,15.69,6.19,87.22
2016-06-27,15.62,0.26,83.76
2016-06-28,15.99,0.15,81.61
2016-06-29,16.94,0.09,80.39
2016-06-30,16.73,0.4,82.61
2016-07-01,16.36,2.46,84.14
2016-07-02,16.13,2.75,86.61
2016-07-03,15.97,4.22,88.42
2016-07-04,16.2,4.66,86.11
2016-07-05,15.63,9.09,88.34
2016-07-06,16.08,8.05,88.09
2016-07-07,16.55,0.7,83.14
2016-07-08,16.38,0.09,79.43
2016-07-09,16.38,0.0,79.04
2016-07-10,15.88,0.01,79.2
2016-07-11,15.68,2.15,80.76
2016-07-12,15.82,3.81,86.94
2016-07-13,15.79,7.18,86.11
2016-07-14,15.03,4.76,84.97
2016-07-15,15.39,6.98,86.43
2016-07-16,15.57,6.71,89.92
2016-07-17,15.57,6.19,87.76
2016-07-18,16.27,5.16,84.79
2016-07-19,16.05,3.47,84.43
2016-07-20,15.78,2.75,85.47
2016-07-21,15.42,4.34,83.86
2016-07-22,15.5,2.99,83.29
2016-07-23,15.84,3.15,84.52
2016-07-24,15.2,8.81,90.16
2016-07-25,15.93,6.9,87.27
2016-07-26,16.29,0.61,83.46
2016-07-27,16.82,1.19,81.98
2016-07-28,15.5,0.32,79.14
2016-07-29,15.35,0.48,84.11
2016-07-30,15.11,0.12,80.65
2016-07-31,16.71,1.12,81.83
2016-08-01,16.59,0.96,82.0
2016-08-02,16.18,1.32,82.91
2016-08-03,16.38,0.8,82.4
2016-08-04,16.19,1.3,81.58
2016-08-05,16.09,1.03,76.01
2016-08-06,16.9,0.77,80.14
2016-08-07,16.91,0.88,77.88
2016-08-08,17.32,4.52,84.15
2016-08-09,16.75,11.76,85.99
2016-08-10,15.86,2.3,82.18
2016-08-11,15.5,2.59,80.83
2016-08-12,15.79,4.91,82.92
2016-08-13,16.09,3.23,81.07
2016-08-14,16.24,18.03,81.85
2016-08-15,15.88,21.71,83.84
2016-08-16,15.4,5.06,80.24
2016-08-17,16.16,11.72,86.12
2016-08-18,16.55,2.0,83.9
2016-08-19,16.07,1.57,82.98
2016-08-20,16.89,0.66,80.11
2016-08-21,15.82,0.31,77.76
2016-08-22,15.96,0.28,73.48
2016-08-23,16.35,0.02,77.19
2016-08-24,16.34,0.2,81.44
2016-08-25,16.14,5.32,83.81
2016-08-26,15.7,11.09,87.94
2016-08-27,15.41,9.57,85.77
2016-08-28,15.69,0.8,81.54
2016-08-29,16.19,1.54,83.56
2016-08-30,16.11,5.63,88.49
2016-08-31,15.82,4.17,83.41
2016-09-01,15.68,7.65,83.74
2016-09-02,16.01,0.98,82.72
2016-09-03,15.74,0.16,84.63
2016-09-04,15.42,4.9,88.79
2016-09-05,16.13,7.36,87.26
2016-09-06,16.57,3.48,86.11
2016-09-07,16.03,3.47,82.0
2016-09-08,16.52,0.21,80.33
2016-09-09,16.66,1.56,83.02
2016-09-10,16.28,5.32,84.86
2016-09-11,15.94,6.71,86.7
2016-09-12,15.52,9.85,87.94
2016-09-13,15.9,9.4,88.57
2016-09-14,16.27,22.97,90.6
2016-09-15,16.3,12.27,82.38
2016-09-16,16.09,0.28,79.39
2016-09-17,15.98,1.32,81.69
2016-09-18,16.45,2.41,83.79
2016-09-19,16.28,3.88,87.66
2016-09-20,15.98,0.63,79.72
2016-09-21,14.85,4.46,83.42
2016-09-22,14.95,5.43,83.37
2016-09-23,16.26,4.54,86.82
2016-09-24,15.65,3.03,85.66
2016-09-25,15.52,1.11,81.85
2016-09-26,16.09,4.4,84.82
2016-09-27,16.12,4.0,82.21
2016-09-28,16.57,3.77,84.36
2016-09-29,16.77,3.94,86.85
2016-09-30,15.83,9.92,90.44
2016-10-01,15.15,7.33,91.74
2016-10-02,15.8,3.33,84.58
2016-10-03,16.55,1.46,86.8
2016-10-04,16.98,1.22,86.26
2016-10-05,16.94,3.37,87.27
2016-10-06,16.68,1.82,88.95
2016-10-07,15.42,13.16,93.11
2016-10-08,15.84,2.74,89.41
2016-10-09,16.29,11.86,91.39
2016-10-10,16.2,19.94,89.75
2016-10-11,15.84,6.82,92.99
2016-10-12,15.54,10.4,91.69
2016-10-13,16.34,3.81,87.75
2016-10-14,16.53,13.68,90.13
2016-10-15,16.2,7.72,86.75
2016-10-16,16.22,6.81,85.8
2016-10-17,16.28,3.05,88.04
2016-10-18,15.88,6.24,90.76
2016-10-19,16.18,1.55,83.83
2016-10-20,16.42,2.3,88.38
2016-10-21,16.0,3.26,85.75
2016-10-22,15.79,12.1,95.03
2016-10-23,15.93,8.89,92.03
2016-10-24,16.45,6.47,88.09
2016-10-25,15.56,14.14,92.95
2016-10-26,15.49,0.58,90.08
2016-10-27,15.99,1.81,87.83
2016-10-28,16.06,21.48,88.78
2016-10-29,15.87,18.15,92.46
2016-10-30,16.53,6.62,87.93
2016-10-31,15.85,6.87,93.47
2016-11-01,15.07,5.71,90.67
2016-11-02,15.55,7.08,92.64
2016-11-03,16.85,6.81,88.35
2016-11-04,16.72,17.04,89.89
2016-11-05,16.29,3.19,85.13
2016-11-06,15.97,3.65,88.09
2016-11-07,16.45,7.07,89.82
2016-11-08,15.87,6.16,93.85
2016-11-09,16.69,3.4,88.54
2016-11-10,16.89,6.02,90.14
2016-11-11,15.94,28.73,91.35
2016-11-12,16.42,2.13,88.84
2016-11-13,16.1,9.04,94.59
2016-11-14,15.77,10.17,94.35
2016-11-15,15.76,7.97,88.39
2016-11-16,16.01,3.37,87.44
2016-11-17,16.13,6.61,88.79
2016-11-18,16.23,3.27,91.18
2016-11-19,15.48,2.75,91.13
2016-11-20,15.36,5.24,86.81
2016-11-21,15.26,0.03,79.09
2016-11-22,15.64,0.06,82.93
2016-11-23,16.97,0.02,86.0
2016-11-24,15.96,4.21,92.3
2016-11-25,15.95,23.17,89.47
2016-11-26,15.58,9.27,91.22
2016-11-27,15.93,5.3,89.84
2016-11-28,16.22,6.65,89.82
2016-11-29,15.71,14.72,91.06
2016-11-30,16.3,2.23,87.36
2016-12-01,15.49,5.5,95.97
2016-12-02,15.12,20.99,96.04
2016-12-03,13.67,16.11,95.6
2016-12-04,15.11,4.34,91.28
2016-12-05,15.74,10.8,90.72
2016-12-06,16.09,4.26,90.9
2016-12-07,15.59,6.71,95.07
2016-12-08,15.36,22.79,95.44
2016-12-09,15.03,10.89,92.73
2016-12-10,15.52,3.45,89.83
2016-12-11,16.3,0.86,87.41
2016-12-12,16.37,0.02,87.35
2016-12-13,15.91,1.04,88.5
2016-12-14,16.82,0.94,86.75
2016-12-15,15.96,2.98,90.72
2016-12-16,15.77,5.36,92.29
2016-12-17,16.37,8.06,87.61
2016-12-18,16.83,0.3,86.46
2016-12-19,16.51,2.22,87.09
2016-12-20,14.36,7.14,93.3
2016-12-21,14.98,8.58,90.58
2016-12-22,14.84,3.91,86.49
2016-12-23,15.41,1.85,89.9
2016-12-24,16.33,1.94,88.46
2016-12-25,15.96,8.71,92.05
2016-12-26,16.05,4.26,92.43
2016-12-27,16.08,7.96,88.77
2016-12-28,16.72,3.81,90.45
2016-12-29,15.55,1.64,91.9
2016-12-30,15.31,4.17,90.16
2016-12-31,15.7,3.73,87.49
