z_m,z_km,temperature_K,temperature_C,pressure_Pa,pressure_hPa,density_kg_m3
52000.0,52.0,267.84999999999997,-5.300000000000011,58.957461515275824,0.5895746151527582,0.0007668131894201603
52100.0,52.1,267.57,-5.579999999999984,58.209861694442374,0.5820986169444238,0.0007578820087978238
52200.0,52.2,267.28999999999996,-5.860000000000014,57.47097379467639,0.5747097379467639,0.0007490456629133893
52300.0,52.3,267.01,-6.139999999999986,56.74070526133151,0.5674070526133151,0.0007403032425398465
52400.0,52.4,266.72999999999996,-6.420000000000016,56.018964427589324,0.5601896442758932,0.0007316538462281033
52500.0,52.5,266.45,-6.699999999999989,55.30566050686165,0.5530566050686165,0.0007230965802485158
52600.0,52.6,266.16999999999996,-6.980000000000018,54.60070358524796,0.5460070358524797,0.0007146305585327725
52700.0,52.7,265.89,-7.259999999999991,53.90400461405134,0.5390400461405134,0.0007062549026161759
52800.0,52.8,265.60999999999996,-7.5400000000000205,53.21547540234901,0.5321547540234901,0.0006979687415802774
52900.0,52.9,265.33,-7.819999999999993,52.535028609621214,0.5253502860962121,0.0006897712119959126
53000.0,53.0,265.04999999999995,-8.100000000000023,51.86257773843319,0.5186257773843319,0.0006816614578665759
53100.0,53.1,264.77,-8.379999999999995,51.19803712717528,0.5119803712717528,0.0006736386305721981
53200.0,53.2,264.48999999999995,-8.660000000000025,50.541321942855,0.50541321942855,0.0006657018888132535
53300.0,53.3,264.21,-8.939999999999998,49.892348173946694,0.49892348173946693,0.0006578503985552695
53400.0,53.4,263.92999999999995,-9.220000000000027,49.25103262329283,0.4925103262329283,0.0006500833329736655
53500.0,53.5,263.65,-9.5,48.617292901061475,0.48617292901061476,0.0006423998723989818
53600.0,53.6,263.37,-9.779999999999973,47.99104741775528,0.47991047417755284,0.0006347992042624412
53700.0,53.7,263.09,-10.060000000000002,47.37221537727525,0.4737221537727525,0.0006272805230418878
53800.0,53.8,262.81,-10.339999999999975,46.76071677003674,0.46760716770036737,0.0006198430302080726
53900.0,53.9,262.53,-10.620000000000005,46.15647236613732,0.46156472366137324,0.0006124859341712853
54000.0,54.0,262.25,-10.899999999999977,45.55940370857839,0.4555940370857839,0.0006052084502283544
54100.0,54.1,261.96999999999997,-11.180000000000007,44.96943310653652,0.4496943310653652,0.0005980098005099733
54200.0,54.2,261.69,-11.45999999999998,44.38648362868875,0.4438648362868875,0.0005908892139284028
54300.0,54.3,261.40999999999997,-11.740000000000009,43.810479096586185,0.43810479096586186,0.0005838459261254833
54400.0,54.4,261.13,-12.019999999999982,43.24134407808117,0.4324134407808117,0.0005768791794210268
54500.0,54.5,260.84999999999997,-12.300000000000011,42.67900388080254,0.4267900388080254,0.0005699882227615184
54600.0,54.6,260.57,-12.579999999999984,42.12338454568306,0.42123384545683057,0.0005631723116691841
54700.0,54.7,260.28999999999996,-12.860000000000014,41.574412840534656,0.4157441284053466,0.0005564307081913714
54800.0,54.8,260.01,-13.139999999999986,41.03201625367533,0.4103201625367533,0.0005497626808502934
54900.0,54.9,259.72999999999996,-13.420000000000016,40.496122987602654,0.40496122987602656,0.0005431675045930739
55000.0,55.0,259.45,-13.699999999999989,39.96666195271866,0.3996666195271866,0.000536644460742158
55100.0,55.1,259.16999999999996,-13.980000000000018,39.44356276110097,0.3944356276110097,0.0005301928369460242
55200.0,55.2,258.89,-14.259999999999991,38.92675572032396,0.3892675572032396,0.000523811927130248
55300.0,55.3,258.60999999999996,-14.54000000000002,38.4161718273262,0.384161718273262,0.0005175010314488737
55400.0,55.4,258.33,-14.819999999999993,37.91174276232672,0.37911742762326717,0.0005112594562361252
55500.0,55.5,258.04999999999995,-15.100000000000023,37.41340088278717,0.37413400882787173,0.0005050865139584248
55600.0,55.6,257.77,-15.379999999999995,36.921079217422424,0.36921079217422426,0.0004989815231667521
55700.0,55.7,257.48999999999995,-15.660000000000025,36.43471146025604,0.3643471146025604,0.0004929438084493003
55800.0,55.8,257.21,-15.939999999999998,35.95423196472362,0.3595423196472362,0.0004869727003844704
55900.0,55.9,256.92999999999995,-16.220000000000027,35.47957573782077,0.3547957573782077,0.00048106753549416513
56000.0,56.0,256.65,-16.5,35.01067843429775,0.35010678434297754,0.0004752276561974082
56100.0,56.1,256.37,-16.779999999999973,34.54747635089852,0.3454747635089852,0.00046945241076426497
56200.0,56.2,256.09,-17.060000000000002,34.08990642064553,0.34089906420645527,0.00046374115327008265
56300.0,56.3,255.80999999999997,-17.340000000000003,33.63790620716919,0.3363790620716919,0.0004580932435500374
56400.0,56.4,255.52999999999997,-17.620000000000005,33.19141389908132,0.3319141389908132,0.00045250804715398326
56500.0,56.5,255.24999999999997,-17.900000000000006,32.750368304392964,0.3275036830439296,0.0004469849353016095
56600.0,56.6,254.96999999999997,-18.180000000000007,32.31470884497614,0.32314708844976137,0.0004415232848379017
56700.0,56.7,254.68999999999997,-18.460000000000008,31.884375551069,0.31884375551069,0.0004361224781889045
56800.0,56.8,254.40999999999997,-18.74000000000001,31.459309055824278,0.3145930905582428,0.0004307819033177827
56900.0,56.9,254.12999999999997,-19.02000000000001,31.039450589900554,0.3103945058990055,0.0004255009536811814
57000.0,57.0,253.84999999999997,-19.30000000000001,30.624741976096473,0.30624741976096476,0.0004202790281858848
57100.0,57.1,253.57,-19.579999999999984,30.215125624026907,0.30215125624026906,0.00041511553114576493
57200.0,57.2,253.28999999999996,-19.860000000000014,29.810544524841326,0.29810544524841326,0.0004100098722390258
57300.0,57.3,253.01,-20.139999999999986,29.4109422459845,0.294109422459845,0.0004049614664657451
57400.0,57.4,252.73,-20.419999999999987,29.016262925997555,0.29016262925997555,0.0003999697341056917
57500.0,57.5,252.45,-20.69999999999999,28.62645126936158,0.2862645126936158,0.000395034100676448
57600.0,57.6,252.17,-20.97999999999999,28.241452541381026,0.28241452541381024,0.0003901539968918045
57700.0,57.7,251.89,-21.25999999999999,27.86121256310848,0.2786121256310848,0.00038532885862044736
57800.0,57.8,251.60999999999999,-21.539999999999992,27.485677706309527,0.27485677706309525,0.00038055812684492706
57900.0,57.9,251.32999999999998,-21.819999999999993,27.11479488846776,0.2711479488846776,0.0003758412476209081
58000.0,58.0,251.04999999999998,-22.099999999999994,26.748511567829603,0.267485115678296,0.0003711776720366983
58100.0,58.1,250.76999999999998,-22.379999999999995,26.386775738488836,0.2638677573848884,0.0003665668561730596
58200.0,58.2,250.48999999999998,-22.659999999999997,26.02953592551004,0.2602953592551004,0.00036200826106328946
58300.0,58.3,250.20999999999998,-22.939999999999998,25.676741180091447,0.25676741180091445,0.0003575013526535839
58400.0,58.4,249.92999999999998,-23.22,25.328341074766293,0.2532834107476629,0.0003530456017636695
58500.0,58.5,249.64999999999998,-23.5,24.984285698642726,0.24984285698642725,0.00034864048404771
58600.0,58.6,249.36999999999998,-23.78,24.644525652681867,0.24644525652681867,0.0003442854799554815
58700.0,58.7,249.08999999999997,-24.060000000000002,24.309012045013976,0.24309012045013975,0.00033998007469381866
58800.0,58.8,248.80999999999997,-24.340000000000003,23.97769648629196,0.2397769648629196,0.0003357237581883244
58900.0,58.9,248.52999999999997,-24.620000000000005,23.650531085082665,0.23650531085082666,0.00033151602504534944
59000.0,59.0,248.24999999999997,-24.900000000000006,23.327468443295107,0.23327468443295107,0.0003273563745142331
59100.0,59.1,247.96999999999997,-25.180000000000007,23.008461651645632,0.23008461651645631,0.00032324431044980745
59200.0,59.2,247.68999999999997,-25.460000000000008,22.69346428515991,0.2269346428515991,0.0003191793412751649
59300.0,59.3,247.40999999999997,-25.74000000000001,22.382430398710902,0.223824303987109,0.00031516097994467986
59400.0,59.4,247.12999999999997,-26.02000000000001,22.075314522593406,0.22075314522593406,0.0003111887439072936
59500.0,59.5,246.84999999999997,-26.30000000000001,21.772071658134223,0.21772071658134223,0.00030726215507005374
59600.0,59.6,246.57,-26.579999999999984,21.472657273338054,0.21472657273338056,0.00030338073976190826
59700.0,59.7,246.28999999999996,-26.860000000000014,21.177027298568568,0.21177027298568568,0.0002995440286977516
59800.0,59.8,246.01,-27.139999999999986,20.885138122265253,0.20885138122265254,0.0002957515569427304
59900.0,59.9,245.73,-27.419999999999987,20.596946586694045,0.20596946586694045,0.0002920028638767859
60000.0,60.0,245.45,-27.69999999999999,20.31240998373372,0.2031240998373372,0.0002882974931594592
60100.0,60.1,245.17,-27.97999999999999,20.031486050696,0.20031486050695999,0.00028463499269493653
60200.0,60.2,244.89,-28.25999999999999,19.754132966180013,0.19754132966180013,0.0002810149145973415
60300.0,60.3,244.60999999999999,-28.539999999999992,19.480309345960826,0.19480309345960825,0.0002774368151562753
60400.0,60.4,244.32999999999998,-28.819999999999993,19.209974238911276,0.19209974238911276,0.00027390025480259503
60500.0,60.5,244.04999999999998,-29.099999999999994,18.943087122957607,0.18943087122957608,0.00027040479807443794
60600.0,60.6,243.76999999999998,-29.379999999999995,18.679607901068135,0.18679607901068135,0.000266950013583484
60700.0,60.7,243.48999999999998,-29.659999999999997,18.41949689727491,0.18419496897274912,0.0002635354739814587
60800.0,60.8,243.20999999999998,-29.939999999999998,18.162714852728087,0.18162714852728087,0.00026016075592687123
60900.0,60.9,242.92999999999998,-30.22,17.909222921782927,0.17909222921782927,0.0002568254400519921
61000.0,61.0,242.64999999999998,-30.5,17.658982668118814,0.17658982668118814,0.00025352911093006093
61100.0,61.1,242.36999999999998,-30.78,17.411956060890564,0.17411956060890563,0.0002502713570427315
61200.0,61.2,242.08999999999997,-31.060000000000002,17.16810547091144,0.17168105470911438,0.00024705177074774685
